status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,3,extraReviews,trailer,series,player
1,33,,Thiết bị giúp tim đập ổn định mãi mãi,,,,https://vcdn-vnexpress.vnecdn.net/2017/12/04/maxresdefault-1512376738_360x216.jpg,,vnexpress,3679486,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,32,,Thiết bị sạc điện thoại bằng gió và nước,,,,https://vcdn-vnexpress.vnecdn.net/2017/12/04/1JPG-1512380705_360x216.jpg,,vnexpress,3679482,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,31,,Máy bay chữa cháy lớn nhất thế giới,,,,https://vcdn-vnexpress.vnecdn.net/2017/12/04/DSC045311024x683-1512363317_360x216.jpg,,vnexpress,3679210,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,30,,Xe buýt tự lái chạy thử nghiệm trên đường phố Trung Quốc,,,,https://vcdn-vnexpress.vnecdn.net/2017/12/04/1JPG-1512354129_360x216.jpg,,vnexpress,3679208,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,29,,Sinh vật biển có chiếc vòi giống giun chỉ ở Đài Loan,,,,https://vcdn-vnexpress.vnecdn.net/2017/12/03/Capture2JPG-1512297496-3168-1512297667_360x216.jpg,,vnexpress,3679142,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,28,,Gấu trúc lớn thích thú chơi đùa với tuyết rơi đầu mùa,,,,https://vcdn-vnexpress.vnecdn.net/2017/12/03/Capture1JPG-1512296311-9518-1512296744_360x216.jpg,,vnexpress,3679139,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,27,,Loài cá bắn tia nước hạ gục con mồi cách xa 2 m,,,,https://vcdn-vnexpress.vnecdn.net/2017/12/02/Untitled-1512181693-1789-1512181771_360x216.jpg,,vnexpress,3678805,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,26,,Lý do sữa lạc đà được ví như 'vàng trắng',,,,https://vcdn-vnexpress.vnecdn.net/2017/12/01/camelmilk-1512119125_360x216.jpg,,vnexpress,3678232,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,25,,Hành trình thoát hiểm của cua biển trước những sát thủ săn mồi,,,,https://vcdn-vnexpress.vnecdn.net/2017/12/01/ClassicGalapagosPhoto5sallylightfootcrab-1512104503_360x216.jpg,,vnexpress,3678227,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,24,,Búp bê phát nhịp tim của mẹ giúp bé ngủ sâu hơn,,,,https://vcdn-vnexpress.vnecdn.net/2017/11/30/f03b2dad30d62eccda494fab5837c58aa8c3famv2-1512012939_360x216.jpg,,vnexpress,3677852,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
